## Angular power spectra, cl, in uK^2
## TT                      EE                      BB                      TE 
   3.663529408735e-01      4.864012674370e-04      2.248414853008e-06      8.402381030401e-03      
   3.613706434460e-01      4.948508517412e-04      2.245533723297e-06      8.416390745854e-03      
   3.564298906667e-01      5.033125362136e-04      2.242588920152e-06      8.427583250930e-03      
   3.515308651301e-01      5.117827825734e-04      2.239581453045e-06      8.435988912644e-03      
   3.466737494306e-01      5.202580525397e-04      2.236512331452e-06      8.441638097994e-03      
   3.418587261625e-01      5.287348078317e-04      2.233382564844e-06      8.444561173985e-03      
   3.370859779202e-01      5.372095101685e-04      2.230193162696e-06      8.444788507621e-03      
   3.323556872982e-01      5.456786212694e-04      2.226945134480e-06      8.442350465910e-03      
   3.276680368909e-01      5.541386028532e-04      2.223639489669e-06      8.437277415849e-03      
   3.230232092925e-01      5.625859166398e-04      2.220277237738e-06      8.429599724447e-03      
   3.184213870975e-01      5.710170243478e-04      2.216859388159e-06      8.419347758707e-03      
   3.138627529002e-01      5.794283876963e-04      2.213386950406e-06      8.406551885628e-03      
   3.093474892952e-01      5.878164684053e-04      2.209860933951e-06      8.391242472222e-03      
   3.048757788767e-01      5.961777281925e-04      2.206282348268e-06      8.373449885485e-03      
   3.004478042391e-01      6.045086287785e-04      2.202652202831e-06      8.353204492427e-03      
   2.960637479769e-01      6.128056318816e-04      2.198971507113e-06      8.330536660048e-03      
   2.917237926844e-01      6.210651992217e-04      2.195241270586e-06      8.305476755348e-03      
   2.874281209559e-01      6.292837925172e-04      2.191462502725e-06      8.278055145343e-03      
   2.831769153860e-01      6.374578734877e-04      2.187636213003e-06      8.248302197030e-03      
   2.789703585689e-01      6.455839038520e-04      2.183763410892e-06      8.216248277409e-03      
   2.748086330991e-01      6.536583453295e-04      2.179845105866e-06      8.181923753491e-03      
   2.706919215709e-01      6.616776596396e-04      2.175882307399e-06      8.145358992276e-03      
   2.666204065788e-01      6.696383085013e-04      2.171876024963e-06      8.106584360765e-03      
   2.625942707170e-01      6.775367536339e-04      2.167827268033e-06      8.065630225970e-03      
   2.586136965801e-01      6.853694567561e-04      2.163737046080e-06      8.022526954888e-03      
   2.546788667624e-01      6.931328795876e-04      2.159606368580e-06      7.977304914529e-03      
   2.507899638583e-01      7.008234838473e-04      2.155436245004e-06      7.929994471888e-03      
   2.469471704621e-01      7.084377312542e-04      2.151227684826e-06      7.880625993978e-03      
   2.431506691683e-01      7.159720835277e-04      2.146981697519e-06      7.829229847795e-03      
   2.394006425712e-01      7.234230023874e-04      2.142699292558e-06      7.775836400347e-03      
   2.356972162756e-01      7.307871836592e-04      2.138381516598e-06      7.720478094504e-03      
   2.320402879281e-01      7.380622596033e-04      2.134029565033e-06      7.663195676601e-03      
   2.284296981854e-01      7.452460965849e-04      2.129644670443e-06      7.604031968834e-03      
   2.248652877045e-01      7.523365609713e-04      2.125228065404e-06      7.543029793405e-03      
   2.213468971423e-01      7.593315191287e-04      2.120780982495e-06      7.480231972515e-03      
   2.178743671555e-01      7.662288374237e-04      2.116304654293e-06      7.415681328362e-03      
   2.144475384011e-01      7.730263822231e-04      2.111800313376e-06      7.349420683145e-03      
   2.110662515359e-01      7.797220198933e-04      2.107269192323e-06      7.281492859066e-03      
   2.077303472169e-01      7.863136168004e-04      2.102712523710e-06      7.211940678323e-03      
   2.044396661009e-01      7.927990393118e-04      2.098131540116e-06      7.140806963114e-03      
   2.011940488447e-01      7.991761537937e-04      2.093527474118e-06      7.068134535644e-03      
   1.979933361053e-01      8.054428266122e-04      2.088901558295e-06      6.993966218109e-03      
   1.948373685396e-01      8.115969241350e-04      2.084255025225e-06      6.918344832708e-03      
   1.917259868043e-01      8.176363127270e-04      2.079589107485e-06      6.841313201640e-03      
   1.886590315564e-01      8.235588587563e-04      2.074905037653e-06      6.762914147111e-03      
