## TT                      EE                      BB                      TE 
   8.228724498146e-01      8.129088758399e-01      7.847269984250e-01      8.178754906087e-01      
   8.177207187211e-01      8.117528511094e-01      7.856828773095e-01      8.147313206408e-01      
   8.121384733628e-01      8.102572053741e-01      7.870349410199e-01      8.111972940067e-01      
   8.057882852464e-01      8.082740078187e-01      7.887483231016e-01      8.070301895031e-01      
   7.982033026872e-01      8.056296422883e-01      7.907629706345e-01      8.019078757671e-01      
   7.890427913468e-01      8.021650275196e-01      7.929991834915e-01      7.955768551403e-01      
   7.781734937996e-01      7.980036794091e-01      7.953638983911e-01      7.880262122992e-01      
   7.655951043128e-01      7.933059717766e-01      7.977570229701e-01      7.793273819226e-01      
   7.518380012579e-01      7.881506212238e-01      8.000773068889e-01      7.697802204208e-01      
   7.375358670031e-01      7.830316113946e-01      8.022274731077e-01      7.599433520998e-01      
   7.237091249564e-01      7.781960461659e-01      8.041185882005e-01      7.504582464170e-01      
   7.113692263302e-01      7.742341137637e-01      8.056738655022e-01      7.421363233979e-01      
   7.016032118483e-01      7.713086781236e-01      8.068321945115e-01      7.356307809615e-01      
   6.952062918949e-01      7.697168873891e-01      8.075516211013e-01      7.315135153165e-01      
   6.927944202350e-01      7.697200156003e-01      8.078127712958e-01      7.302449807777e-01      
   6.945316699701e-01      7.711383964208e-01      8.076218936833e-01      7.318333404842e-01      
   7.001650734763e-01      7.738771004944e-01      8.070129145376e-01      7.360989858227e-01      
   7.090681591198e-01      7.775541959543e-01      8.060477707019e-01      7.425220012506e-01      
   7.203426266024e-01      7.818059008358e-01      8.048143667349e-01      7.504452785522e-01      
   7.328164952367e-01      7.863529061053e-01      8.034217779327e-01      7.591128905975e-01      
   7.453729930755e-01      7.906582034846e-01      8.019927180193e-01      7.676817515293e-01      
   7.569337779031e-01      7.945089173676e-01      8.006537233420e-01      7.754938016521e-01      
   7.667384172463e-01      7.974458558401e-01      7.995239058446e-01      7.819414129885e-01      
   7.742754298516e-01      7.997314368955e-01      7.987034495721e-01      7.869005032836e-01      
   7.794763296169e-01      8.011357055939e-01      7.982632321666e-01      7.902318136606e-01      
   7.825319782347e-01      8.016821944567e-01      7.982369981310e-01      7.920492115669e-01      
   7.839444577651e-01      8.017486519991e-01      7.986173452471e-01      7.927965768439e-01      
   7.844010549826e-01      8.013816656006e-01      7.993563823032e-01      7.928459017620e-01      
   7.845853025023e-01      8.007692871849e-01      8.003713012578e-01      7.926359904903e-01      
   7.851423741244e-01      8.002007281777e-01      8.015543733593e-01      7.926357924655e-01      
   7.864955208986e-01      7.997071882269e-01      8.027861702330e-01      7.930738437062e-01      
